"install_date","country","platform","d1_retention_pct","d7_retention_pct","d7_to_d1_ratio"
"2019-08-07","Krypton","ios",56.25,27.08,0.48
"2019-08-07","Mordor","android",50.76,31.82,0.63
"2019-08-07","Mordor","ios",57.02,28.07,0.49
"2019-08-07","Tatooine","android",52.87,31.53,0.6
"2019-08-07","Tatooine","ios",57.83,33.04,0.57
"2019-08-08","Asgard","android",44.05,17.86,0.41
"2019-08-08","Asgard","ios",31.71,17.07,0.54
"2019-08-08","Gargantua","android",47.02,26.38,0.56
"2019-08-08","Gargantua","ios",51.69,29.87,0.58
"2019-08-08","Gotham","android",46.98,22.33,0.48
"2019-08-08","Gotham","ios",42.53,19.54,0.46
"2019-08-08","Krypton","android",58.75,42.5,0.72
"2019-08-08","Krypton","ios",53.45,20.69,0.39
"2019-08-08","Mordor","android",51.48,30.18,0.59
"2019-08-08","Mordor","ios",49.26,29.41,0.6
"2019-08-08","Tatooine","android",51.92,29.67,0.57
"2019-08-08","Tatooine","ios",52.13,30.59,0.59
"2019-08-09","Asgard","android",34.21,10.53,0.31
"2019-08-09","Asgard","ios",41.46,14.63,0.35
"2019-08-09","Gargantua","android",44.42,26.24,0.59
"2019-08-09","Gargantua","ios",46.1,22.67,0.49
"2019-08-09","Gotham","android",42.19,18.36,0.44
"2019-08-09","Gotham","ios",50,24.77,0.5
"2019-08-09","Krypton","android",42.65,23.53,0.55
"2019-08-09","Krypton","ios",53.97,25.4,0.47
"2019-08-09","Mordor","android",41.92,16.17,0.39
"2019-08-09","Mordor","ios",53.24,24.46,0.46
"2019-08-09","Tatooine","android",45.24,24.52,0.54
"2019-08-09","Tatooine","ios",53.3,25.67,0.48
"2019-08-10","Asgard","android",28.57,16.67,0.58
"2019-08-10","Asgard","ios",38,22,0.58
"2019-08-10","Gargantua","android",44.91,21.56,0.48
"2019-08-10","Gargantua","ios",48.61,23.17,0.48
"2019-08-10","Gotham","android",46.49,20.74,0.45
"2019-08-10","Gotham","ios",42.09,21.22,0.5
"2019-08-10","Krypton","android",45.21,21.92,0.48
"2019-08-10","Krypton","ios",48.44,23.44,0.48
"2019-08-10","Mordor","android",39.66,22.41,0.57
"2019-08-10","Mordor","ios",48.24,24.71,0.51
"2019-08-10","Tatooine","android",48.88,29.15,0.6
"2019-08-10","Tatooine","ios",47.36,27.4,0.58
"2019-08-11","Asgard","android",39.58,21.88,0.55
"2019-08-11","Asgard","ios",44.44,30.56,0.69
"2019-08-11","Gargantua","android",44.75,23.95,0.54
"2019-08-11","Gargantua","ios",43.78,22.58,0.52
